dist,backend,n,seed,median_cycles,p99_cycles,stddev_cycles,per_sample
inverse-gamma,cpp,1000,42,27198,27964,259.514,27.198
inverse-gamma,cpp,100000,42,4.65401e+06,5.0058e+06,74619.3,46.5401
inverse-gamma,cpp,10000000,42,4.66373e+08,4.69596e+08,1.02433e+06,46.6373
